Label	Weight	Text
l_BuySell	1	"subLists": [
l_BuySell	1	"prebuiltEntities": [
l_BuySell	1	{
l_BuySell	1	"patterns": [],
l_BuySell	1	"筆記型電腦"
l_BuySell	1	"canonicalForm": "件",
l_BuySell	1	"list": []
l_BuySell	1	"roles": []
l_BuySell	1	"桌電"
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	"tokenizerVersion": "1.0.0",
l_BuySell	1	"desc": "",
l_BuySell	1	"購買",
l_BuySell	1	}
l_BuySell	1	"name": "Order",
l_BuySell	1	{
l_BuySell	1	],
l_BuySell	1	},
l_BuySell	1	"list": [
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	"children": [],
l_BuySell	1	{
l_BuySell	1	"subLists": [
l_BuySell	1	}
l_BuySell	1	],
l_BuySell	1	}
l_BuySell	1	"hierarchicals": [],
l_BuySell	1	],
l_BuySell	1	}
l_BuySell	1	"list": [
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	},
l_BuySell	1	"canonicalForm": "個",
l_BuySell	1	"subLists": [
l_BuySell	1	],
l_BuySell	1	"versionId": "0.1",
l_BuySell	1	},
l_BuySell	1	"features": []
l_BuySell	1	"list": []
l_BuySell	1	{
l_BuySell	1	"roles": [],
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	"regex_entities": [],
l_BuySell	1	}
l_BuySell	1	"roles": []
l_BuySell	1	"name": "Measure",
l_BuySell	1	"regex_features": [],
l_BuySell	1	"roles": []
l_BuySell	1	"features": []
l_BuySell	1	"list": [
l_BuySell	1	"list": []
l_BuySell	1	"name": "Buy Action",
l_BuySell	1	"isRequired": false
l_BuySell	1	"canonicalForm": "主機",
l_BuySell	1	{
l_BuySell	1	"canonicalForm": "顯卡",
l_BuySell	1	"list": []
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	"modelName": "number",
l_BuySell	1	"canonicalForm": "買",
l_BuySell	1	"roles": []
l_BuySell	1	"name": "number",
l_BuySell	1	{
l_BuySell	1	"utterances": [],
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	"canonicalForm": "筆電",
l_BuySell	1	}
l_BuySell	1	}
l_BuySell	1	"name": "Buy",
l_BuySell	1	"settings": []
l_BuySell	1	]
l_BuySell	1	]
l_BuySell	1	"patternAnyEntities": [],
l_BuySell	1	},
l_BuySell	1	"phraselists": [],
l_BuySell	1	},
l_BuySell	1	},
l_BuySell	1	"name": "VIPLuis",
l_BuySell	1	"closedLists": [
l_BuySell	1	]
l_BuySell	1	},
l_BuySell	1	"culture": "zh-cn",
l_BuySell	1	"intents": [
l_BuySell	1	],
l_BuySell	1	"list": []
l_BuySell	1	"canonicalForm": "手",
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	}
q_BuySell	1	買
q_BuySell	1	Hello
