Label	Weight	Text
l_BuySell	1	"subLists": [
l_BuySell	1	}
l_BuySell	1	],
l_BuySell	1	}
l_BuySell	1	"hierarchicals": [],
l_BuySell	1	],
l_BuySell	1	}
l_BuySell	1	"list": [
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	},
l_BuySell	1	"canonicalForm": "個",
l_BuySell	1	"subLists": [
l_BuySell	1	],
l_BuySell	1	"versionId": "0.1",
l_BuySell	1	},
l_BuySell	1	"features": []
l_BuySell	1	"list": []
l_BuySell	1	{
l_BuySell	1	"roles": [],
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	"regex_entities": [],
l_BuySell	1	}
l_BuySell	1	"roles": []
l_BuySell	1	"name": "Measure",
l_BuySell	1	"regex_features": [],
l_BuySell	1	"roles": []
l_BuySell	1	"features": []
l_BuySell	1	"list": [
l_BuySell	1	"list": []
l_BuySell	1	"name": "Buy Action",
l_BuySell	1	"isRequired": false
l_BuySell	1	"canonicalForm": "主機",
l_BuySell	1	{
l_BuySell	1	"canonicalForm": "顯卡",
l_BuySell	1	"list": []
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	"modelName": "number",
l_BuySell	1	"canonicalForm": "買",
l_BuySell	1	"roles": []
l_BuySell	1	"name": "number",
l_BuySell	1	{
l_BuySell	1	"utterances": [],
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	"canonicalForm": "筆電",
l_BuySell	1	}
l_BuySell	1	]
l_BuySell	1	"entities": [
l_BuySell	1	"list": []
l_BuySell	1	"canonicalForm": "對",
l_BuySell	1	}
l_BuySell	1	],
l_BuySell	1	],
l_BuySell	1	"list": []
l_BuySell	1	"modelName": "Measure",
l_BuySell	1	{
l_BuySell	1	"list": []
l_BuySell	1	{
l_BuySell	1	"features": [
l_BuySell	1	"canonicalForm": "打",
l_BuySell	1	"canonicalForm": "台",
l_BuySell	1	"name": "Item",
l_BuySell	1	"name": "None",
l_BuySell	1	"下單",
l_BuySell	1	"luis_schema_version": "7.0.0",
l_BuySell	1	"購入"
l_BuySell	1	"isRequired": false
l_BuySell	1	"桌機",
l_BuySell	1	"composites": [],
l_BuySell	1	"canonicalForm": "跟",
l_BuySell	1	{
l_BuySell	1	}
l_BuySell	1	"name": "Buy",
l_BuySell	1	"settings": []
l_BuySell	1	]
l_BuySell	1	]
l_BuySell	1	"patternAnyEntities": [],
l_BuySell	1	},
l_BuySell	1	"phraselists": [],
l_BuySell	1	},
l_BuySell	1	},
l_BuySell	1	"name": "VIPLuis",
l_BuySell	1	"closedLists": [
l_BuySell	1	]
l_BuySell	1	},
l_BuySell	1	"culture": "zh-cn",
l_BuySell	1	"intents": [
l_BuySell	1	],
l_BuySell	1	"list": []
l_BuySell	1	"canonicalForm": "手",
l_BuySell	1	{
l_BuySell	1	{
l_BuySell	1	},
l_BuySell	1	}
q_BuySell	1	Hello
q_BuySell	1	Hi
